timestamp,cpu_percent
2025-08-29T16:57:47.261726,22.5
2025-08-29T16:57:52.262873,11.1
2025-08-29T16:57:57.264064,11.4
2025-08-29T16:58:02.265485,9.6
2025-08-29T16:58:07.266733,13.0
2025-08-29T16:58:12.270668,14.2
2025-08-29T16:58:17.271560,9.7
2025-08-29T16:58:22.277382,10.2
2025-08-29T16:58:27.278386,10.2
2025-08-29T16:58:32.279403,10.0
2025-08-29T16:58:37.280400,9.8
2025-08-29T16:58:42.281462,2.9
2025-08-29T17:53:18.316138,4.7
2025-08-29T17:53:23.317534,0.7
2025-08-29T17:53:28.319320,1.8
2025-08-29T17:53:33.321193,1.7
2025-08-29T17:53:38.322267,3.2
2025-08-29T17:53:43.323847,1.5
2025-08-29T17:53:48.325068,1.6
2025-08-29T17:53:53.326430,1.4
2025-08-29T17:53:58.327305,1.4
2025-08-29T17:54:03.328321,2.6
2025-08-29T17:54:08.331000,4.9
2025-08-29T17:54:13.333271,0.9
2025-08-30T20:24:22.393078,29.3
2025-09-06T16:13:25.176018,7.0
2025-09-06T16:14:25.179448,5.0
2025-09-06T18:03:02.088178,5.1
2025-09-06T18:03:07.089059,8.9
2025-09-06T18:03:12.090008,10.4
2025-09-06T18:03:17.091043,0.0
2025-09-06T18:03:22.091784,1.8
2025-09-06T18:03:27.092691,6.8
2025-09-06T18:03:32.093450,3.9
2025-09-06T18:03:37.094409,2.6
2025-09-06T18:03:42.095544,3.7
2025-09-06T18:03:47.096636,9.0
2025-09-06T18:03:52.097440,2.1
2025-09-06T18:03:57.098353,9.7
2025-09-06T19:16:47.856611,2.7
2025-09-06T19:16:52.857771,10.2
2025-09-06T19:16:57.858324,5.2
2025-09-06T19:17:02.859069,8.1
2025-09-06T19:17:07.860181,4.6
2025-09-06T19:17:12.861773,0.0
2025-09-06T19:17:17.862622,2.6
2025-09-06T19:17:22.863309,24.3
2025-09-06T19:17:27.864541,3.8
2025-09-06T19:17:32.866579,0.1
2025-09-06T19:17:37.867191,5.2
2025-09-06T19:18:36.659187,13.2
2025-09-06T19:18:41.659900,0.4
2025-09-06T19:18:46.661397,1.4
2025-09-06T19:18:51.662595,2.7
2025-09-06T19:18:56.663532,9.0
2025-09-06T19:19:01.664143,0.5
2025-09-06T19:19:06.665744,0.4
2025-09-06T19:19:11.666872,0.6
2025-09-06T19:19:16.668635,0.4
2025-09-06T19:19:21.669767,0.9
2025-09-06T19:19:26.671387,0.9
2025-09-06T19:19:31.672693,0.6
2025-09-21T10:26:28.714762,1.2
2025-09-21T10:26:33.717367,0.8
2025-09-21T10:26:38.718362,1.6
